city,state,title,url
Pasadena,California,Pasadena Lapidary Society,http://www.pasadenalapidarysociety.org/
Los Altos,California,"Peninsula Gem & Geology Society, Inc.",http://pggs.org/
Roseville,California,Roseville Rock Rollers,http://www.rockrollers.com/
Brea,California,Route 66 Gold Miners Inc,http://www.route66goldminers.org/
Sacramento,California,Sacramento Mineral Society,http://www.sacramentomineralsociety.org/
North Highlands,California,Sacramento Valley Detecting Buffs,http://www.sacramentovalleydetectingbuffs.com/
Salinas,California,Salinas Valley Rock and Gem Club,https://salinasrockandgem.pagecloud.com/
San Diego,California,San Diego Gem and Mineral Society,http://www.sdmg.org/
San Diego,California,San Diego Lapidary Society,http://sandiegolapidarysociety.org/
San Francisco,California,"San Francisco Gem and Mineral Society, Inc.",http://www.sfgms.org/
Bakersfield,California,San Joaquin Valley Lapidary Society,http://sjvls.blogspot.com/
San Luis Obispo,California,San Luis Obispo Gem & Mineral Club,http://www.slogem.org/
Santa Ana,California,"Santa Ana Rock & Mineral Club, Inc.",http://www.sarmclub.org/
San Jose,California,Santa Clara Valley Gem & Mineral Society,http://www.scvgms.org/
Santa Cruz,California,Santa Cruz Mineral and Gem Society,https://www.facebook.com/scmgs/
Paso Robles,California,Santa Lucia Rockhounds,http://www.slrockhounds.org/
Santa Rosa,California,"Santa Rosa Mineral And Gem Society, Inc.",http://www.srmgs.org/
Anaheim,California,Searchers Gem and Mineral Society,https://www.searchersrocks.org/
Trona,California,"Searles Lake Gem and Mineral Society, Inc.",http://www1.iwvisp.com/tronagemclub/
Redwood City,California,Sequoia Gem and Mineral Society,http://www.sequoiagemandmineralsociety.org/
Palm Springs,California,Shadow Mountain Gem & Mineral Society,http://www.shadowmountaingemmineral.org/
Redding,California,Shasta Gem & Mineral Society,http://www.shastagemandmineral.com/
Newhall,California,Sierra Pelona Rock Club,http://www.sierrapelona.com/
Torrance,California,South Bay Lapidary & Mineral Society,https://southbaylapidaryandmineralsociety.com/
San Clemente,California,South Orange County Gem & Mineral Society,https://www.facebook.com/South-Orange-County-Gem-Mineral-Society-255366124502612/
Los Angeles,California,Southern California Paleontological Society,http://socalpaleo.com/
Stockton,California,Stockton Lapidary & Mineral Club,http://www.stocktonlapidary.com/
Marysville,California,Sutter Buttes Gem & Mineral Society,https://sutterbuttesgemmin.org/
